#-----------------------------------------------------
#              Re:sim Road Data File
#-----------------------------------------------------

Left-Hand Or Right-Hand ; LEFT

#-----------------------------------------------------
# WayPoint ; id , x , y , z , direct[rad]
#-----------------------------------------------------
WayPoint ; 0 , -162.56 , -227.633 , 0 , -3.14136
WayPoint ; 1 , -174.748 , -215.522 , 0 , 1.57068
WayPoint ; 2 , -147.427 , -230.484 , 0 , -3.14136
WayPoint ; 3 , -185.003 , -231.104 , 0 , -3.14136
WayPoint ; 4 , -168.634 , -239.744 , 0 , -1.57068
WayPoint ; 5 , -170.663 , -218.772 , 0 , -1.57068
WayPoint ; 6 , -167.594 , -216.313 , 0 , -1.57068
WayPoint ; 7 , -158.484 , -224.278 , 0 , 2.22397e-08
WayPoint ; 8 , -181.633 , -227.421 , 0 , 4.44794e-08
WayPoint ; 9 , -182.828 , -224.141 , 0 , 4.44794e-08
WayPoint ; 10 , -172.076 , -238.457 , 0 , 1.57068
WayPoint ; 11 , -174.748 , -238.923 , 0 , 1.57068
WayPoint ; 12 , -70.8721 , -223.53 , 0 , 0
WayPoint ; 13 , -93.4334 , -229.447 , 0 , -3.14136
WayPoint ; 14 , -123.753 , -227.489 , 0 , 3.09646
WayPoint ; 15 , -70.8504 , -229.247 , 0 , -3.14136
WayPoint ; 16 , -174.337 , -173.78 , 0 , 1.57068
WayPoint ; 17 , -169.503 , -177.276 , 0 , -1.57068
WayPoint ; 18 , -170.546 , -189.943 , 0 , -1.60955
WayPoint ; 19 , -169.331 , -167.59 , 0 , -1.57068
WayPoint ; 20 , -274.79 , -231.946 , 0 , 3.14136
WayPoint ; 21 , -250.288 , -225.254 , 0 , 4.44794e-08
WayPoint ; 22 , -223.916 , -226.803 , 0 , -0.0583913
WayPoint ; 23 , -274.592 , -225.425 , 0 , 4.44794e-08
WayPoint ; 24 , -167.615 , -348.094 , 0 , -1.57115
WayPoint ; 25 , -173.603 , -313.092 , 0 , 1.57068
WayPoint ; 26 , -173.615 , -348.092 , 0 , 1.57068
WayPoint ; 27 , -174.196 , -115.288 , 0 , 1.57376
WayPoint ; 28 , -174.2 , -100.704 , 0 , 1.57376
WayPoint ; 29 , -164.569 , -107.393 , 0 , 0.00261642
WayPoint ; 30 , -164.561 , -110.393 , 0 , -3.13874
WayPoint ; 31 , -169.049 , -114.904 , 0 , -1.56806
WayPoint ; 32 , -169.08 , -102.905 , 0 , -1.56806
WayPoint ; 33 , -168.945 , -152.904 , 0 , -1.56806
WayPoint ; 34 , -174.31 , -153.07 , 0 , 1.57376
WayPoint ; 35 , -126.587 , -108.334 , 0 , 0.00261642
WayPoint ; 36 , -126.597 , -110.868 , 0 , -3.13874
WayPoint ; 37 , -174.076 , -62.3927 , 0 , 1.5733
WayPoint ; 38 , -169.083 , -63.2241 , 0 , -1.56806
WayPoint ; 39 , -11.9724 , -225.657 , 0 , -3.14136
WayPoint ; 40 , -27.1697 , -214.396 , 0 , 1.57068
WayPoint ; 41 , -11.8637 , -229.124 , 0 , -3.14136
WayPoint ; 42 , -39.6198 , -228.985 , 0 , 3.14136
WayPoint ; 43 , -23.1163 , -214.288 , 0 , -1.57068
