#-----------------------------------------------------
#           Re:sim Traffic Signal Data File
#-----------------------------------------------------

#-----------------------------------------------------
# Type ; id , (vehicle or pedestrian) 
#-----------------------------------------------------
Type  ; 0 , vehicle
Type  ; 1 , pedestrian
Type  ; 2 , vehicle
Type  ; 3 , pedestrian
Type  ; 4 , vehicle
Type  ; 5 , pedestrian
Type  ; 6 , vehicle
Type  ; 7 , pedestrian
Type  ; 8 , vehicle
Type  ; 9 , pedestrian
Type  ; 10 , vehicle
Type  ; 11 , pedestrian
Type  ; 12 , vehicle
Type  ; 13 , pedestrian
Type  ; 14 , vehicle
Type  ; 15 , pedestrian
Type  ; 16 , vehicle
Type  ; 17 , pedestrian
Type  ; 18 , vehicle
Type  ; 19 , pedestrian
Type  ; 20 , vehicle
Type  ; 21 , pedestrian
Type  ; 22 , vehicle
Type  ; 23 , pedestrian
Type  ; 24 , vehicle
Type  ; 25 , pedestrian
Type  ; 26 , vehicle
Type  ; 27 , pedestrian
Type  ; 28 , vehicle
Type  ; 29 , pedestrian
Type  ; 30 , vehicle
Type  ; 31 , pedestrian
Type  ; 32 , vehicle
Type  ; 33 , pedestrian
Type  ; 34 , vehicle
Type  ; 35 , pedestrian
Type  ; 36 , vehicle
Type  ; 37 , pedestrian
Type  ; 38 , vehicle
Type  ; 39 , pedestrian
Type  ; 40 , vehicle
Type  ; 41 , pedestrian
Type  ; 42 , vehicle
Type  ; 43 , pedestrian
Type  ; 44 , vehicle
Type  ; 45 , pedestrian
Type  ; 46 , vehicle
Type  ; 47 , pedestrian

#-----------------------------------------------------
# Location ; id , x, y, direction[deg] 
#-----------------------------------------------------
Location ; 0 , -165.213 , -230.721 , 0
Location ; 1 , -161.563 , -235.892 , 0
Location ; 2 , -168.775 , -221.677 , 90
Location ; 3 , -164.19 , -216.723 , 90
Location ; 4 , -177.037 , -225.477 , 180
Location ; 5 , -182.207 , -219.089 , 180
Location ; 6 , -173.564 , -232.957 , 270
Location ; 7 , -179.452 , -237.802 , 270
Location ; 8 , -158.951 , 144.218 , 0
Location ; 9 , -157.111 , 136.644 , 0
Location ; 10 , -167.712 , 162.293 , 90
Location ; 11 , -161.916 , 168.251 , 90
Location ; 12 , -180.75 , 155.127 , 180
Location ; 13 , -183.793 , 164.051 , 180
Location ; 14 , -172.73 , 137.049 , 270
Location ; 15 , -179.344 , 131.423 , 270
Location ; 16 , -433.053 , 142.335 , 0
Location ; 17 , -429.67 , 136.242 , 0
Location ; 18 , -441.219 , 162.898 , 90
Location ; 19 , -434.926 , 166.29 , 90
Location ; 20 , -450.236 , 154.391 , 180
Location ; 21 , -454.941 , 162.541 , 180
Location ; 22 , -444.578 , 133.905 , 270
Location ; 23 , -450.695 , 132.416 , 270
Location ; 24 , 193.739 , -224.9 , 0
Location ; 25 , 198.393 , -228.677 , 0
Location ; 26 , 185.774 , -212.473 , 90
Location ; 27 , 192.401 , -208.156 , 90
Location ; 28 , 171.339 , -221.634 , 180
Location ; 29 , 168.981 , -215.5 , 180
Location ; 30 , 178.521 , -234.411 , 270
Location ; 31 , 172.172 , -237.997 , 270
Location ; 32 , 194.944 , 146.797 , 0
Location ; 33 , 198.691 , 139.881 , 0
Location ; 34 , 187.076 , 164.314 , 90
Location ; 35 , 192.875 , 165.034 , 90
Location ; 36 , 167.855 , 154.832 , 180
Location ; 37 , 164.694 , 160.384 , 180
Location ; 38 , 178.632 , 137.764 , 270
Location ; 39 , 171.435 , 133.134 , 270
Location ; 40 , 444.673 , 146.54 , 0
Location ; 41 , 447.986 , 135.962 , 0
Location ; 42 , 437.51 , 165.045 , 90
Location ; 43 , 445.38 , 167.925 , 90
Location ; 44 , 425.195 , 156.702 , 180
Location ; 45 , 422.114 , 165.892 , 180
Location ; 46 , 434.088 , 139.031 , 270
Location ; 47 , 425.986 , 136.153 , 270

#-----------------------------------------------------
# Control ; id , relatedNode, ctrlDir, CtrlLane, ctrlCrossWalk 
#-----------------------------------------------------
Control ; 0 , 0 , 0 , -1 , -1
Control ; 1 , 0 , 0 , -1 , -1
Control ; 2 , 0 , 1 , -1 , -1
Control ; 3 , 0 , 1 , -1 , -1
